complaint,label,processed_complaint,cluster,distance_to_center
"My tik tok account has not been violated or made any mistakes, why is there no tik tok shop for creators? (tik tok side butt fixes errors)",useful,"tik tok account violated made mistakes, tik tok shop creators? (tik tok side butt fixes errors)",5,0.638497518118496
"Dear TikTok Shop!
My account ID: yeulichsuvietnam2 does not violate any rules and is eligible to participate in the TikTok Shop creator program. But I currently get an error when registering. ""Your application has been rejected.
TikTok Shop is only available for accounts with good account status. ""How do I know if my account is good?
Thank you for your reply",useful,"dear tiktok shop! account id: yeulichsuvietnam2 violate rules eligible participate tiktok shop creator program. currently get error registering. ""your application rejected. tiktok shop available accounts good account status. ""how know account good? thank reply",1,0.8654085805867131
"My account has a good reputation, why can't I open the shopping cart?",useful,"account good reputation, can't open shopping cart?",3,0.8593953825668922
"I can't register with TikTok, I don't know where the violation is.",useful,"can't register tiktok, don't know violation is.",1,0.958665687442736
Help me open the cart.,useful,help open cart.,3,0.9051986122283364
"It is known that my account has applied for a marketing account, but was rejected because the account is not secure. I still haven't found the error here. I hope TikTok will review it.",useful,"known account applied marketing account, rejected account secure. still haven't found error here. hope tiktok review it.",1,0.8756921493856231
I can't register for affiliate marketing on my account.,useful,can't register affiliate marketing account.,6,0.4642920704334916
"You have met all three conditions, but you still can't sign up for TikTok Shop.
Looking for Support Team",useful,"met three conditions, still can't sign tiktok shop. looking support team",4,0.918218804660146
Open my shopping cart.,useful,open shopping cart.,3,0.42818127109715254
Why can't I open a TikTok shop?,useful,can't open tiktok shop?,7,0.46174257284355963
Please help me link my account with TikTok Shop.,useful,please help link account tiktok shop.,7,0.8642341197854232
Why can't I open a TikTok shop for creators?,useful,can't open tiktok shop creators?,2,0.5158183862036985
Open my shopping cart.,useful,open shopping cart.,3,0.42818127109715254
Why can't my account open TikTok?,useful,can't account open tiktok?,7,0.710330005284013
Why can't my account open commission ads?,useful,can't account open commission ads?,1,0.9822653558892736
The account cannot be opened.,useful,account cannot opened.,1,0.9200381483134747
Why can't I open a TikTok shop?,useful,can't open tiktok shop?,7,0.46174257284355963
I want to attach a TikTok shopping cart.,useful,want attach tiktok shopping cart.,3,0.8900918403706988
Why can't I join TikTok for creators?,useful,can't join tiktok creators?,2,0.5544859248333884
Please tell me why my TikTok account has been banned from registering creators. I need evidence of being hit for infringement.,useful,please tell tiktok account banned registering creators. need evidence hit infringement.,2,0.8607679750477695
Shop can't open the cart,useful,shop can't open cart,3,0.7734446264260395
Why haven't you opened your shopping cart in 30 days?,useful,haven't opened shopping cart 30 days?,3,0.9819610368919559
Why can't I enter the TikTok shop with my account?,useful,can't enter tiktok shop account?,7,0.8707403288025978
"My account has 1000 followers, so how can I open TikTok for creators?",useful,"account 1000 followers, open tiktok creators?",2,0.8145941501766106
Why can't I post a shopping cart even though I have 1k fl?,useful,can't post shopping cart even though 1k fl?,3,0.8580839747421634
Why can't I sign up for the creator's tittok shop?,useful,can't sign creator's tittok shop?,4,0.6410214419369015
Why can't I open an affiliate account?,useful,can't open affiliate account?,6,0.6661805005211611
The reason why I can't open TikTok affiliate marketing,useful,reason can't open tiktok affiliate marketing,6,0.709906127936026
"I can't sign the tik tok shop for the creator. I hope the tik tok team will consider it, thank you.",useful,"can't sign tik tok shop creator. hope tik tok team consider it, thank you.",5,0.7261778701306395
I want to re-subscribe to the TikTok shop channel.,useful,want re-subscribe tiktok shop channel.,7,0.9206599492992186
I can't register the display on my account.,useful,can't register display account.,1,0.7990827655315352
Why can't I enable tik tok shop?,useful,can't enable tik tok shop?,5,0.6350067160601803
Why was my account rejected?,useful,account rejected?,1,0.7996589993138583
I can't register for the TikTok Shop.,useful,can't register tiktok shop.,7,0.743068345592408
Unable to Sign up for TikTok shopping cart,useful,unable sign tiktok shopping cart,4,0.8198048289744424
Please approve the TikTok Shop application for my creator.,useful,please approve tiktok shop application creator.,1,0.9054702972154709
Why can't I open a TikTok Shop account?,useful,can't open tiktok shop account?,7,0.4886070089381246
Why don't I register for TikTok Shop DC when it has reached 1000 followers?,useful,don't register tiktok shop dc reached 1000 followers?,0,0.4633464324656435
What good is a TikTok account with enough 1000k followers but cannot open a shopping cart?,useful,good tiktok account enough 1000k followers cannot open shopping cart?,3,0.8162796536263083
Why can't my channel register for the TikTok Shop?,useful,can't channel register tiktok shop?,7,0.8955299913689223
I can't register the cart.,useful,can't register cart.,3,0.9116013556601587
"Hello, TikTok. My TikTok Shop shopping cart has been cancelled. TikTok made a mistake in locking my cart. Please review and reopen it. I am grateful.",useful,"hello, tiktok. tiktok shop shopping cart cancelled. tiktok made mistake locking cart. please review reopen it. grateful.",7,0.9318574248823197
Why can't I copy the link?,useful,can't copy link?,5,0.9168982400392252
Why can't I sign up?,useful,can't sign up?,4,0.38972646346083933
Why I have more than 1k followers and do not violate the community without opening the cart,useful,1k followers violate community without opening cart,3,1.0608298213345788
Why can't I register my account properly?,useful,can't register account properly?,1,0.7990827655315352
Why is the account refused to register for TikTok for creators?,useful,account refused register tiktok creators?,2,0.7592595511459584
Why can't my account sign up for affiliate marketing?,useful,can't account sign affiliate marketing?,6,0.5816774273212089
I can't open the cart even though I have met all the requirements. Please assist me in opening the cart.,useful,can't open cart even though met requirements. please assist opening cart.,3,0.9063396594309197
"My TikTok account has a good reputation, but I can't register a creator's store.",useful,"tiktok account good reputation, can't register creator's store.",1,0.8910526258312642
"My account has not been violated, why can't I apply for affiliate marketing?",useful,"account violated, can't apply affiliate marketing?",6,0.6607521945103781
Give me all the reasons why I can't open a marketing link.,useful,give reasons can't open marketing link.,6,0.9160062126088306
"I would like to know what problem my account is having that I can't open a TikTok shop. And what can I do to fix it so that I can open a TikTok shop for creators? Thanks, TikTok.",useful,"would like know problem account can't open tiktok shop. fix open tiktok shop creators? thanks, tiktok.",2,0.7915630523855751
Why can't I open a TikTok Shop account?,useful,can't open tiktok shop account?,7,0.4886070089381246
"Yes, my tik tok account currently has a message like the picture above, I don't know what content I violated and how to improve it?",useful,"yes, tik tok account currently message like picture above, don't know content violated improve it?",5,0.8677875751403695
Why can't my account register for the TikTok Creator Shop? My account has never been in trouble.,useful,can't account register tiktok creator shop? account never trouble.,1,0.7524804423408369
I want you to register my account. My account has been violated or locked.,useful,want register account. account violated locked.,1,0.8364490326343059
Why can't my account link to TikTok Shop?,useful,can't account link tiktok shop?,7,0.7964222892785345
Why can't I apply for affiliate marketing?,useful,can't apply affiliate marketing?,6,0.6174627544780649
Why can't TikTok Shop be opened?,useful,can't tiktok shop opened?,7,0.8561005573536039
I can't open the shopping cart link.,useful,can't open shopping cart link.,3,0.7401941662619079
Why can't I open the shopping cart?,useful,can't open shopping cart?,3,0.42818127109715254
